¹¤ÐòÃû,×Ê²ú±àÂë,Éè±¸ID,²Ù×÷Õß,°à´Î,µçÐ¾ÐÍºÅ´úÂë,Éú²úÅú´Î,Ê±¼ä,µçÐ¾ÌõÂë,µçÐ¾Î»ÖÃ,Ô¤º¸¹¦ÂÊ,Ô¤º¸ËÙ¶È,º¸ÏßÊýÁ¿,º¸Ïß³¤¶È,Àë½¹Á¿,º¸ºó½á¹û,Ñ¹Á¦Öµ,Ô¤º¸Ì¨½×Öµ1,Ô¤º¸Ì¨½×Öµ2,Ô¤º¸Ì¨½×Öµ3,Ô¤º¸Ì¨½×Öµ4,Ô¤º¸Ì¨½×Öµ5,Ô¤º¸Ì¨½×Öµ6,Ô¤º¸Ì¨½×Öµ7,Ô¤º¸Ì¨½×Öµ8,·´À¡´úÂë,·´À¡ÐÅÏ¢
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:02:29,001CB1U0000001ABA6513000,B,616.808,600.000,8.000,4.500,0.000,2.000,46.720,-0.062,-0.052,-0.027,-0.016,-0.034,-0.041,-0.075,-0.040,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:02:34,001CB1U0000001ABA6515086,A,635.395,600.000,8.000,4.500,0.000,2.000,61.350,-0.090,-0.150,0.140,0.104,0.118,0.094,-0.082,-0.128,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:02:55,001CB1U0000001ABA6515088,A,633.900,600.000,8.000,4.500,0.000,2.000,70.590,-0.084,-0.130,0.009,0.042,0.018,0.001,-0.028,-0.040,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:03:01,001CB1U0000001AB86512062,A,635.181,600.000,8.000,4.500,0.000,2.000,66.390,-0.063,-0.165,0.011,0.054,0.025,0.051,-0.019,-0.106,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:03:15,001CB1U0000001AB86511870,A,634.113,600.000,8.000,4.500,0.000,2.000,70.170,-0.089,-0.092,0.029,0.082,0.059,0.046,-0.013,-0.063,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:03:22,001CB1U0000001ABA6515090,A,633.900,600.000,8.000,4.500,0.000,2.000,69.660,-0.070,-0.149,0.055,0.064,0.089,0.055,-0.091,-0.099,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:03:36,001CB1U0000001ABA6512892,A,634.754,600.000,8.000,4.500,0.000,2.000,63.510,-0.095,-0.135,0.013,0.017,0.044,-0.007,-0.048,-0.021,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:03:42,001CB1U0000001ABA6515096,A,631.763,600.000,8.000,4.500,0.000,2.000,67.410,-0.038,-0.113,-0.001,0.005,0.015,-0.017,0.032,0.011,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:03:58,001CB1U0000001ABA6513022,A,633.900,600.000,8.000,4.500,0.000,2.000,71.490,-0.004,-0.045,-0.014,-0.018,-0.010,-0.022,0.008,-0.001,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:04:04,001CB1U0000001ABA6513020,A,633.686,600.000,8.000,4.500,0.000,2.000,67.140,-0.042,-0.137,-0.017,-0.012,-0.027,-0.043,-0.034,-0.036,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:04:18,001CB1U0000001ABA6515102,A,633.045,600.000,8.000,4.500,0.000,2.000,69.690,-0.058,-0.092,0.010,0.013,0.009,-0.021,-0.018,-0.050,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:04:27,001CB1U0000001ABA6513036,A,634.968,600.000,8.000,4.500,0.000,2.000,67.830,-0.020,-0.089,0.027,0.080,0.043,0.044,-0.065,-0.113,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:04:44,001CB1U0000001ABA6513046,A,634.968,600.000,8.000,4.500,0.000,2.000,71.820,-0.019,-0.055,-0.017,0.002,-0.025,-0.026,-0.046,-0.044,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:05:00,001CB1U0000001ABA6515094,B,614.885,600.000,8.000,4.500,0.000,2.000,46.560,-0.112,-0.122,0.083,0.042,0.084,0.021,-0.036,-0.066,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:05:43,001CB1U0000001ABA6513038,A,632.831,600.000,8.000,4.500,0.000,2.000,67.050,-0.020,-0.126,0.038,0.032,0.046,0.016,-0.053,-0.047,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:05:52,001CB1U0000001ABA6515098,B,618.089,600.000,8.000,4.500,0.000,2.000,46.720,-0.077,-0.096,0.066,0.073,0.071,0.047,-0.066,-0.076,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:05:57,001CB1U0000001ABA6513042,A,630.481,600.000,8.000,4.500,0.000,2.000,60.180,-0.022,-0.184,0.038,0.031,0.047,-0.014,-0.072,-0.103,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:06,001CB1U0000001ABA6515100,B,618.303,600.000,8.000,4.500,0.000,2.000,46.880,-0.119,-0.102,0.026,0.006,0.021,-0.029,-0.072,-0.038,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:10,001CB1U0000001ABA6515108,A,635.181,600.000,8.000,4.500,0.000,2.000,68.640,-0.093,-0.155,0.103,0.080,0.079,0.067,-0.104,-0.142,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:19,001CB1U0000001ABA6513032,B,618.089,600.000,8.000,4.500,0.000,2.000,48.160,-0.086,-0.095,0.010,0.008,0.006,-0.026,-0.042,-0.019,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:24,001CB1U0000001ABA6515110,A,634.113,600.000,8.000,4.500,0.000,2.000,70.650,-0.036,-0.096,0.044,0.036,0.060,0.013,-0.097,-0.128,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:33,001CB1U0000001ABA6513028,B,617.876,600.000,8.000,4.500,0.000,2.000,47.520,-0.088,-0.054,-0.068,-0.012,-0.074,-0.023,-0.085,-0.015,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:37,001CB1U0000001ABA6515114,A,600.570,600.000,8.000,4.500,0.000,2.000,68.670,-0.019,-0.084,0.069,0.049,0.063,0.023,-0.060,-0.172,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:46,001CB1U0000001ABA6513058,B,616.594,600.000,8.000,4.500,0.000,2.000,47.360,-0.054,-0.084,-0.008,-0.039,-0.037,-0.051,-0.113,-0.031,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:06:50,001CB1U0000001ABA6515116,A,634.754,600.000,8.000,4.500,0.000,2.000,66.210,-0.062,-0.048,0.019,0.019,0.004,-0.002,0.052,-0.032,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:07,001CB1U0000001ABA6515122,B,615.312,600.000,8.000,4.500,0.000,2.000,46.240,-0.125,-0.108,-0.073,-0.010,-0.091,-0.014,-0.112,-0.042,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:10,001CB1U0000001ABA6515120,A,631.336,600.000,8.000,4.500,0.000,2.000,68.160,-0.093,-0.158,0.052,0.043,0.079,0.042,-0.094,-0.133,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:19,001CB1U0000001ABA6513056,B,617.235,600.000,8.000,4.500,0.000,2.000,46.240,0.008,-0.025,-0.025,-0.040,-0.020,-0.066,-0.019,0.006,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:23,001CB1U0000001ABA6515124,A,633.686,600.000,8.000,4.500,0.000,2.000,63.180,-0.068,-0.197,0.011,-0.009,-0.014,-0.011,-0.073,0.040,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:32,001CB1U0000001ABB6500000,B,617.448,600.000,8.000,4.500,0.000,2.000,46.720,-0.114,-0.162,0.014,0.009,0.005,-0.021,-0.065,-0.020,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:36,001CB1U0000001ABA6515126,A,634.968,600.000,8.000,4.500,0.000,2.000,63.450,-0.073,-0.171,0.028,0.045,0.018,0.008,-0.100,-0.077,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:45,001CB1U0000001ABB6500002,B,616.808,600.000,8.000,4.500,0.000,2.000,47.040,-0.050,-0.105,0.028,0.039,0.017,0.002,-0.102,-0.076,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:07:59,001CB1U0000001ABA6513062,A,626.208,600.000,8.000,4.500,0.000,2.000,70.440,-0.020,-0.112,0.001,0.003,-0.013,-0.007,-0.050,-0.063,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:08:30,001CB1U0000001ABB6500006,B,606.339,600.000,8.000,4.500,0.000,2.000,46.880,-0.110,-0.199,0.080,0.057,0.080,0.051,-0.117,-0.101,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:08:33,001CB1U0000001ABA6513060,A,635.181,600.000,8.000,4.500,0.000,2.000,66.360,-0.037,-0.103,-0.008,0.017,-0.025,-0.015,-0.030,-0.051,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:08:43,001CB1U0000001AB86511872,B,617.662,600.000,8.000,4.500,0.000,2.000,47.040,-0.079,-0.090,-0.024,-0.008,0.000,-0.030,-0.061,-0.017,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:10:13,001CB1U0000001ABB6500004,A,629.840,600.000,8.000,4.500,0.000,2.000,68.820,-0.071,-0.100,0.010,0.014,0.003,-0.005,-0.069,-0.071,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:10:22,001CB1U0000001AB86511878,B,608.903,600.000,8.000,4.500,0.000,2.000,48.320,0.001,-0.028,0.004,-0.002,-0.003,-0.011,0.048,0.062,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:10:26,001CB1U0000001ABA6513066,A,633.259,600.000,8.000,4.500,0.000,2.000,70.440,-0.047,-0.098,0.004,0.016,0.000,0.009,-0.073,-0.096,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:10:35,001CB1U0000001AB86511842,B,614.885,600.000,8.000,4.500,0.000,2.000,46.080,-0.056,-0.159,0.082,0.051,0.078,0.067,-0.061,0.005,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:10:38,001CB1U0000001ABA6513064,A,634.541,600.000,8.000,4.500,0.000,2.000,70.230,-0.025,-0.086,-0.026,0.015,-0.023,-0.002,-0.061,-0.060,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:10:59,001CB1U0000001ABB6500014,A,634.113,600.000,8.000,4.500,0.000,2.000,66.570,-0.065,-0.139,-0.006,0.018,0.013,-0.008,-0.101,-0.064,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:11:13,001CB1U0000001AB86511966,A,634.541,600.000,8.000,4.500,0.000,2.000,68.370,-0.089,-0.151,0.086,0.086,0.095,0.065,-0.002,-0.046,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:11:20,001CB1U0000001AB86511876,A,633.900,600.000,8.000,4.500,0.000,2.000,69.150,-0.026,-0.175,0.064,0.066,0.099,0.011,-0.051,-0.058,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:11:35,001CB1U0000001AB86511838,A,633.472,600.000,8.000,4.500,0.000,2.000,68.460,-0.022,-0.129,0.036,-0.005,0.051,-0.026,0.009,-0.035,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:11:41,001CB1U0000001ABB6500022,A,631.977,600.000,8.000,4.500,0.000,2.000,68.280,-0.014,-0.097,0.004,-0.018,-0.024,0.006,-0.042,-0.058,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:11:56,001CB1U0000001ABB6500026,A,631.549,600.000,8.000,4.500,0.000,2.000,61.560,-0.098,-0.165,0.000,0.015,-0.023,-0.025,-0.029,0.034,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:12:02,001CB1U0000001ABB6500030,A,633.900,600.000,8.000,4.500,0.000,2.000,64.710,-0.073,-0.118,-0.010,0.022,-0.007,0.003,-0.039,-0.102,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:12:16,001CB1U0000001ABB6500034,A,634.327,600.000,8.000,4.500,0.000,2.000,69.420,-0.075,-0.182,0.026,0.013,0.019,-0.014,-0.068,-0.085,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:12:25,001CB1U0000001ABA6513040,A,634.968,600.000,8.000,4.500,0.000,2.000,67.140,-0.048,-0.123,0.013,0.024,0.011,0.001,-0.062,-0.093,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:12:41,001CB1U0000001ABB6500038,A,633.259,600.000,8.000,4.500,0.000,2.000,67.440,-0.018,-0.146,-0.021,0.004,-0.004,-0.039,0.008,0.022,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:12:48,001CB1U0000001AB86511884,A,634.541,600.000,8.000,4.500,0.000,2.000,68.850,-0.064,-0.182,0.035,0.008,0.050,-0.010,-0.064,-0.058,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:13:02,001CB1U0000001AB86512140,A,635.181,600.000,8.000,4.500,0.000,2.000,64.650,-0.126,-0.199,0.072,0.022,0.087,0.021,-0.004,-0.065,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:13:18,001CB1U0000001ABB6500024,B,616.808,600.000,8.000,4.500,0.000,2.000,47.360,-0.145,-0.126,-0.086,-0.016,-0.060,-0.016,-0.071,-0.018,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:13:57,001CB1U0000001AB86512144,A,635.395,600.000,8.000,4.500,0.000,2.000,65.550,-0.090,-0.159,0.075,0.049,0.085,0.012,0.027,-0.042,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:14:07,001CB1U0000001ABB6500040,B,617.021,600.000,8.000,4.500,0.000,2.000,48.000,-0.095,-0.072,-0.044,0.007,-0.031,-0.016,0.035,0.100,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:14:21,001CB1U0000001AB86512128,A,635.609,600.000,8.000,4.500,0.000,2.000,67.500,-0.095,-0.145,0.097,0.042,0.117,0.025,0.034,-0.028,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:14:30,001CB1U0000001AB86511880,B,617.876,600.000,8.000,4.500,0.000,2.000,47.360,-0.067,-0.155,0.009,-0.001,0.001,-0.003,-0.086,-0.016,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:14:36,001CB1U0000001ABB6500042,A,635.395,600.000,8.000,4.500,0.000,2.000,68.430,-0.080,-0.148,-0.006,0.031,-0.009,0.000,-0.022,-0.056,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:14:45,001CB1U0000001AB86512142,B,618.089,600.000,8.000,4.500,0.000,2.000,47.360,-0.100,-0.150,-0.013,0.076,-0.038,0.041,-0.076,-0.019,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:15:05,001CB1U0000001AB86512150,B,618.089,600.000,8.000,4.500,0.000,2.000,45.600,-0.123,-0.201,0.000,-0.046,-0.002,-0.034,-0.084,-0.024,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:15:15,001CB1U0000001AB86512120,B,617.662,600.000,8.000,4.500,0.000,2.000,47.520,-0.104,-0.120,0.015,0.104,-0.008,0.085,-0.134,-0.001,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:15:41,001CB1U0000001ABA6513076,B,607.621,600.000,8.000,4.500,0.000,2.000,46.560,-0.014,-0.048,-0.017,0.000,-0.021,-0.034,-0.017,-0.032,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:15:44,001CB1U0000001ABB6500048,A,634.754,600.000,8.000,4.500,0.000,2.000,67.530,-0.064,-0.109,0.008,0.048,0.016,0.028,0.017,-0.046,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:17:24,001CB1U0000001AB86511840,B,616.808,600.000,8.000,4.500,0.000,2.000,46.880,-0.050,-0.199,0.081,0.068,0.073,0.061,-0.119,-0.028,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:17:28,001CB1U0000001AB86511882,A,602.920,600.000,8.000,4.500,0.000,2.000,64.770,-0.063,-0.152,0.107,0.049,0.124,0.044,-0.017,-0.040,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:19:29,001CB1U0000001ABA6513074,A,623.431,600.000,8.000,4.500,0.000,2.000,63.570,-0.058,-0.082,0.007,0.032,-0.005,-0.010,-0.084,-0.103,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:19:35,001CB1U0000001ABB6500052,A,633.900,600.000,8.000,4.500,0.000,2.000,70.680,-0.060,-0.189,0.089,0.065,0.067,0.040,-0.089,-0.112,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:19:50,001CB1U0000001ABA6513072,A,634.754,600.000,8.000,4.500,0.000,2.000,68.640,-0.033,-0.088,0.023,0.001,0.044,-0.010,0.012,-0.056,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:19:57,001CB1U0000001ABA6513078,A,633.900,600.000,8.000,4.500,0.000,2.000,68.460,-0.038,-0.153,0.006,-0.028,0.031,-0.030,-0.035,-0.094,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:20:11,001CB1U0000001ABA6513050,A,634.113,600.000,8.000,4.500,0.000,2.000,60.930,0.011,-0.052,0.009,0.006,0.032,-0.013,0.002,-0.002,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:20:18,001CB1U0000001ABB6500082,A,634.327,600.000,8.000,4.500,0.000,2.000,67.890,-0.099,-0.166,0.063,0.051,0.079,0.030,-0.110,-0.126,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:20:32,001CB1U0000001ABA6513098,A,632.831,600.000,8.000,4.500,0.000,2.000,67.710,-0.083,-0.127,-0.009,0.049,-0.012,0.034,-0.043,-0.075,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:20:38,001CB1U0000001ABB6500084,A,634.754,600.000,8.000,4.500,0.000,2.000,63.570,-0.060,-0.141,-0.002,0.029,-0.004,-0.001,0.050,0.020,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:20:54,001CB1U0000001ABB6500088,A,634.968,600.000,8.000,4.500,0.000,2.000,63.090,-0.132,-0.188,0.007,0.013,0.005,0.001,-0.017,-0.072,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:21:01,001CB1U0000001ABB6500092,A,635.181,600.000,8.000,4.500,0.000,2.000,65.010,-0.238,-0.268,-0.008,0.031,-0.016,-0.007,0.038,0.018,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:21:20,001CB1U0000001ABA6513080,B,617.021,600.000,8.000,4.500,0.000,2.000,47.520,-0.040,-0.139,0.001,-0.022,-0.007,-0.046,-0.055,-0.019,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:03,001CB1U0000001ABB6500106,A,634.541,600.000,8.000,4.500,0.000,2.000,70.950,-0.089,-0.125,0.027,0.030,0.024,0.013,-0.055,-0.128,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:10,001CB1U0000001ABB6500068,B,592.665,600.000,8.000,4.500,0.000,2.000,47.680,-0.076,-0.106,0.033,0.020,0.034,0.021,-0.057,-0.053,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:16,001CB1U0000001ABB6500110,A,634.541,600.000,8.000,4.500,0.000,2.000,61.500,-0.061,-0.093,-0.025,0.013,-0.029,-0.016,-0.070,-0.094,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:22,001CB1U0000001ABA6513034,B,618.303,600.000,8.000,4.500,0.000,2.000,46.720,-0.023,-0.051,-0.091,-0.009,-0.113,-0.028,0.002,0.080,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:28,001CB1U0000001ABB6500114,A,633.686,600.000,8.000,4.500,0.000,2.000,69.270,-0.061,-0.139,0.012,0.002,0.031,-0.016,-0.018,-0.075,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:34,001CB1U0000001ABB6500086,B,588.819,600.000,8.000,4.500,0.000,2.000,46.240,-0.085,-0.148,-0.057,0.030,-0.083,0.013,-0.075,0.008,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:44,001CB1U0000001ABB6500118,A,634.754,600.000,8.000,4.500,0.000,2.000,66.810,-0.061,-0.150,0.053,0.001,0.077,-0.005,-0.011,-0.084,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:51,001CB1U0000001ABB6500108,B,611.039,600.000,8.000,4.500,0.000,2.000,47.520,-0.098,-0.180,0.020,0.007,0.014,0.007,-0.127,-0.096,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:22:55,001CB1U0000001ABB6500122,A,635.395,600.000,8.000,4.500,0.000,2.000,68.700,-0.026,-0.147,0.033,-0.002,0.052,-0.014,0.030,-0.011,0,OK
